"filename", "language", "XML", "SQL", "JavaScript", "Markdown", "HTML", "Vue", "YAML", "Java", "SCSS", "JSON", "Shell Script", "Properties", "Batch", "Docker", "comment", "blank", "total"
"d:\work\workspace\thinglinks\README.md", "Markdown", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 197
"d:\work\workspace\thinglinks\bin\clean.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\work\workspace\thinglinks\bin\package.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\work\workspace\thinglinks\doc\dockerfile\deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 8, 8, 68
"d:\work\workspace\thinglinks\doc\dockerfile\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 3, 1, 213
"d:\work\workspace\thinglinks\doc\dockerfile\nacos\conf\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 9, 33
"d:\work\workspace\thinglinks\doc\dockerfile\nginx\conf\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 5, 49
"d:\work\workspace\thinglinks\doc\dockerfile\redis\conf\redis.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\auth\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\broker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\collection\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\file\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\gateway\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 1, 18
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\gen\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\job\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\link\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\monitor\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\protocolAnalysis\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 1, 15
"d:\work\workspace\thinglinks\doc\dockerfile\thinglinks\rule\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 2, 16
